"","SYMBOL","X1107H4D","Normalized_Per_Million","Normal_Mean","Normal_Mean_per_Million","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000165731","RET",15.2,3.124,14.897,2.98,12.5375,11.041,0.027,1.02,"NORMAL","0"
"ENSG00000166183","ASPG",2.575,0.529,35.87,7.174,37.725,23.274,-1.431,0.072,"LOW","0"
"ENSG00000166963","MAP1A",145.175,29.838,168.192,33.639,151.125,102.687,-0.224,0.863,"NORMAL","0"
"ENSG00000167286","CD3D",1.925,0.396,17.151,3.431,11.725,27.648,-0.551,0.112,"NORMAL","0"
"ENSG00000167325","RRM1",519.7,106.813,553.245,110.636,468.025,230.582,-0.145,0.939,"NORMAL","0"
"ENSG00000167552","TUBA1A",1097.225,225.511,1138.82,227.737,1130.1125,396.521,-0.105,0.963,"NORMAL","0"
"ENSG00000167601","AXL",52.5,10.79,162.979,32.592,155.575,55.201,-2.001,0.322,"LOW","0"
"ENSG00000168405","CMAHP",66.45,13.657,261.926,52.389,225.8125,127.737,-1.53,0.254,"LOW","0"
"ENSG00000169032","MAP2K1",131.05,26.934,301.907,60.382,286.875,92.551,-1.846,0.434,"LOW","0"
"ENSG00000169083","AR",462.325,95.021,663.557,132.71,707.4625,264.053,-0.762,0.697,"LOW","0"
"ENSG00000169442","CD52",137.1,28.178,119.288,23.858,53.1625,161.668,0.11,1.149,"NORMAL","0"
"ENSG00000171094","ALK",13.4,2.754,4.5,0.9,2.725,5.743,1.55,2.978,"NORMAL","0"
"ENSG00000171608","PIK3CD",50.7,10.42,128.93,25.786,131.3625,39.392,-1.986,0.393,"LOW","0"
"ENSG00000171720","HDAC3",264.95,54.455,265.77,53.154,253.225,57.384,-0.014,0.997,"NORMAL","0"
"ENSG00000171791","BCL2",108.5,22.3,423,84.599,404.7,172.549,-1.823,0.257,"LOW","0"
"ENSG00000171848","RRM2",199.875,41.08,27.983,5.597,12.3375,47.964,3.584,7.143,"NORMAL","0"
"ENSG00000171855","IFNB1",0,0,0.141,0.028,0,0.494,-0.285,0,"NORMAL","-"
"ENSG00000172819","RARG",182.225,37.452,78.787,15.758,83.425,30.201,3.425,2.313,"HIGH","0"
"ENSG00000173511","VEGFB",236.975,48.705,149.66,29.928,145.85,45.432,1.922,1.583,"NORMAL","0"
"ENSG00000176105","YES1",632.225,129.94,375.417,75.084,368.325,71.161,3.609,1.684,"HIGH","0"
"ENSG00000176387","HSD11B2",14.225,2.924,57.748,11.55,50.625,36.275,-1.2,0.246,"LOW","0"
"ENSG00000176890","TYMS",551.325,113.313,71.859,14.37,46.025,77.941,6.152,7.672,"HIGH","0"
"ENSG00000177084","POLE",109.525,22.51,46.954,9.392,43.2875,22.785,2.746,2.333,"HIGH","0"
"ENSG00000177455","CD19",2.575,0.529,25.468,5.093,21.8375,24.278,-0.943,0.101,"LOW","0"
"ENSG00000178035","IMPDH2",135.05,27.757,598.842,119.773,575.4625,256.767,-1.806,0.226,"LOW","0"
"ENSG00000178568","ERBB4",132.35,27.202,34.371,6.874,15.7,83.75,1.17,3.851,"HIGH","0"
"ENSG00000180616","SSTR2",28.975,5.955,22.965,4.593,11.3125,32.75,0.184,1.262,"NORMAL","0"
"ENSG00000181163","NPM1",1786.275,367.13,2718.883,543.829,2963.2625,658.654,-1.416,0.657,"NORMAL","0"
"ENSG00000182054","IDH2",604.4,124.221,244.181,48.838,119.6875,368.228,0.978,2.475,"HIGH","0"
"ENSG00000182578","CSF1R",32.95,6.772,73.606,14.719,60.15,51.045,-0.796,0.448,"NORMAL","0"
"ENSG00000182866","LCK",3.975,0.817,6.903,1.38,4.725,7.394,-0.396,0.576,"NORMAL","-"
"ENSG00000183765","CHEK2",16.925,3.479,24.722,4.944,21.925,9.547,-0.817,0.685,"NORMAL","0"
"ENSG00000183813","CCR4",0,0,1.154,0.231,0,1.956,-0.59,0,"NORMAL","-"
"ENSG00000184292","TACSTD2",4058.825,834.204,533.507,106.688,48.1,1221.416,2.886,7.608,"HIGH","0"
"ENSG00000184428","TOP1MT",203.35,41.794,98.748,19.75,93.5625,27.816,3.76,2.059,"HIGH","0"
"ENSG00000185291","IL3RA",0.975,0.2,11.389,2.278,6.9875,13.389,-0.778,0.086,"LOW","+"
"ENSG00000185379","RAD51D",89.65,18.426,68.606,13.72,66.1875,16.327,1.289,1.307,"NORMAL","0"
"ENSG00000185386","MAPK11",3.975,0.817,20.462,4.093,19.85,8.52,-1.935,0.194,"LOW","0"
"ENSG00000185664","PMEL",3.225,0.663,14.933,2.987,12.4125,9.704,-1.207,0.216,"LOW","0"
"ENSG00000185811","IKZF1",17.95,3.689,93.045,18.612,56.8625,90.153,-0.833,0.193,"NORMAL","0"
"ENSG00000186350","RXRA",222.525,45.735,446.906,89.389,442.975,120.345,-1.864,0.498,"LOW","0"
"ENSG00000186716","BCR",76.775,15.779,68.062,13.613,71.2125,34.767,0.251,1.128,"NORMAL","0"
"ENSG00000186868","MAPT",131.05,26.934,110.98,22.193,84.5125,115.058,0.174,1.181,"NORMAL","0"
"ENSG00000188379","IFNA2",0,0,0.083,0.017,0,0.199,-0.417,0,"NORMAL","-"
"ENSG00000188389","PDCD1",0.375,0.077,1.218,0.244,0.25,2.237,-0.377,0.308,"NORMAL","-"
"ENSG00000189221","MAOA",100.7,20.697,587.478,117.496,521.2875,338.716,-1.437,0.171,"LOW","0"
"ENSG00000196230","TUBB",5980.4,1229.142,1716.344,343.304,1727.4,518.328,8.227,3.484,"HIGH","0"
"ENSG00000196591","HDAC2",1179.275,242.374,1099.958,220.017,1057.7125,238.923,0.332,1.072,"NORMAL","0"
"ENSG00000196664","TLR7",1.925,0.396,21.914,4.382,16.225,20.244,-0.987,0.088,"LOW","0"
"ENSG00000196839","ADA",14.225,2.924,37.49,7.498,15.8375,84.794,-0.274,0.379,"NORMAL","0"
"ENSG00000197122","SRC",236.975,48.705,172.243,34.45,153.5125,64.158,1.009,1.376,"NORMAL","0"
"ENSG00000197461","PDGFA",292.275,60.071,186.445,37.289,118.8875,149.705,0.707,1.568,"NORMAL","0"
"ENSG00000198056","PRIM1",7.1,1.459,27.298,5.46,23.175,15.379,-1.313,0.26,"LOW","0"
"ENSG00000198400","NTRK1",3.225,0.663,0.758,0.152,0,1.712,1.441,4.255,"NORMAL","-"
"ENSG00000198408","MGEA5",1047.775,215.347,1334.463,266.9,1221.575,383.03,-0.748,0.785,"NORMAL","0"
"ENSG00000198431","TXNRD1",180,36.995,463.927,92.795,469.725,112.304,-2.528,0.388,"LOW","0"
"ENSG00000198793","MTOR",94.275,19.376,145.924,29.186,126.1,45.083,-1.146,0.646,"LOW","0"
"ENSG00000198851","CD3E",11.875,2.441,22.185,4.437,15.2,32.843,-0.314,0.535,"NORMAL","0"
"ENSG00000204231","RXRB",281.85,57.928,148.717,29.74,143,49.417,2.694,1.895,"HIGH","0"
"ENSG00000204264","PSMB8",64.475,13.251,125.407,25.079,100.7625,83.792,-0.727,0.514,"NORMAL","0"
"ENSG00000204580","DDR1",2126.025,436.958,559.884,111.963,459.925,285.253,5.49,3.797,"HIGH","0"
"ENSG00000205220","PSMB10",0,0,1.446,0.289,1.125,1.388,-1.042,0,"LOW","+"
"ENSG00000206503","HLA-A",981.45,201.716,2049.071,409.833,1620.3,1412.064,-0.756,0.479,"LOW","0"
"ENSG00000213923","CSNK1E",1113.725,228.902,428.634,85.716,404.475,139.096,4.925,2.598,"HIGH","0"
"ENSG00000228716","DHFR",207.5,42.647,49.891,9.979,33.5625,45.007,3.502,4.159,"HIGH","0"
"ENSG00000232810","TNF",22.05,4.532,3.946,0.789,2.325,5.167,3.504,5.588,"HIGH","0"
"ENSG00000240065","PSMB9",116.875,24.021,175.48,35.101,143.0625,127.051,-0.461,0.666,"NORMAL","0"
"ENSG00000254087","LYN",611.225,125.624,239.504,47.895,195.075,152.187,2.443,2.552,"HIGH","0"
"ENSG00000258947","TUBB3",170.6,35.063,10.46,2.092,5.125,14.968,10.699,16.31,"HIGH","0"
"ENSG00000278195","SSTR3",23.825,4.897,26.231,5.247,13.525,36.925,-0.065,0.908,"NORMAL","0"
